"","siteid","sitename","primary","datasetid","publicationid","pubtypeid","pubtype","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url","city","state","country","originallanguage","notes","author_order","author_familyname","author_givennames"
"29","16579","Orange Lake 2A","TRUE","26009","1584","1","Journal Article","1997","Morgan, G.S., and K.L. Seymour. 1997. Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida. Bulletin of the Florida Museum of Natural History 40(2):177-219.","Fossil history of the panther (Puma concolor) and the cheetah-like cat (Miracinonyx inexpectatus) in Florida","Bulletin of the Florida Museum of Natural History","40","2","177-219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Seymour","Kevin L."
"30","23646","Haile 16A","TRUE","40912","1605","1","Journal Article","1995","Martin, R.A. 1995. A new Middle Pleistocene species of Microtus (Pedomys) from the southern United States, with comments on the taxonomy and early evolution of Pedomys and Pitymys in North America. Journal of Vertebrate Paleontology 15(1):171-186.","A new Middle Pleistocene species of Microtus (Pedomys) from the southern United States, with comments on the taxonomy and early evolution of Pedomys and Pitymys in North America","Journal of Vertebrate Paleontology","15","1","171-186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Martin","Robert A."
"31","16410","Saber Tooth Cave","TRUE","25536","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"1","Ray","Clayton E."
"32","16410","Saber Tooth Cave","TRUE","25536","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"2","Sanders","Albert E."
"33","16759","Apollo Beach","TRUE","26660","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"1","Ray","Clayton E."
"34","16759","Apollo Beach","TRUE","26660","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"2","Sanders","Albert E."
"35","17854","Branford","TRUE","30059","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"1","Ray","Clayton E."
"36","17854","Branford","TRUE","30059","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"2","Sanders","Albert E."
"37","22079","Phosphoria Mine IMC.","TRUE","38153","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"1","Ray","Clayton E."
"38","22079","Phosphoria Mine IMC.","TRUE","38153","1639","2","Book Chapter","1984","Ray, C.E., and A.E. Sanders. 1984. Pleistocene tapirs in the eastern United States. Pages 283-315 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday. Special Publications 8. Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA.","Pleistocene tapirs in the eastern United States",NA,NA,NA,"283-315",NA,"10.5962/bhl.title.123727","Contributions in Quaternary vertebrate paleontology: a volume in memorial to John E. Guilday",NA,NA,NA,"Special Publications","8","Carnegie Museum of Natural History",NA,"Pittsburgh","Pennsylvania","USA",NA,NA,"2","Sanders","Albert E."
